"","bandwidths","correlation"
"1",20000,0.118665924820078
"2",15000,0.153638995675106
"3",10000,0.190948746368837
"4",90000,0.0357120021835564
"5",80000,0.0356506397544694
"6",70000,0.0355625463261712
"7",60000,0.0361961106567861
"8",50000,0.0392682748279195
"9",45000,0.042730999856723
"10",40000,0.0483905222729645
"11",35000,0.057305023574206
"12",30000,0.0709247838182082
"13",25000,0.0909531883039189
"14",20000,0.118665924820078
"15",15000,0.153638995675106
"16",10000,0.190948746368837
"17",5000,0.218670685145055
