date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2008-11-15,Sorghum - Retail,3 KG,cereals and tubers,2.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2008-12-15,Sorghum - Retail,3 KG,cereals and tubers,2.625,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-01-15,Sorghum - Retail,3 KG,cereals and tubers,2.71,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-02-15,Sorghum - Retail,3 KG,cereals and tubers,2.83,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-03-15,Sorghum - Retail,3 KG,cereals and tubers,2.8075,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-04-15,Sorghum - Retail,3 KG,cereals and tubers,2.83,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-05-15,Sorghum - Retail,3 KG,cereals and tubers,3.33,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-06-15,Sorghum - Retail,3 KG,cereals and tubers,3.33,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-07-15,Sorghum - Retail,3 KG,cereals and tubers,3.4575,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-08-15,Sorghum - Retail,3 KG,cereals and tubers,3.415,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-09-15,Sorghum - Retail,3 KG,cereals and tubers,3.33,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-10-15,Sorghum - Retail,3 KG,cereals and tubers,4.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-11-15,Sorghum - Retail,3 KG,cereals and tubers,4.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2009-12-15,Sorghum - Retail,3 KG,cereals and tubers,3.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-01-15,Sorghum - Retail,3 KG,cereals and tubers,4.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-02-15,Sorghum - Retail,3 KG,cereals and tubers,4.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-03-15,Sorghum - Retail,3 KG,cereals and tubers,4.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-04-15,Sorghum - Retail,3 KG,cereals and tubers,3.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-05-15,Sorghum - Retail,3 KG,cereals and tubers,4.125,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-06-15,Sorghum - Retail,3 KG,cereals and tubers,4.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-07-15,Sorghum - Retail,3 KG,cereals and tubers,4.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-08-15,Sorghum - Retail,3 KG,cereals and tubers,4.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-09-15,Sorghum - Retail,3 KG,cereals and tubers,4.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-10-15,Sorghum - Retail,3 KG,cereals and tubers,4.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-11-15,Sorghum - Retail,3 KG,cereals and tubers,2.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2010-12-15,Sorghum - Retail,3 KG,cereals and tubers,2.375,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-01-15,Sorghum - Retail,3 KG,cereals and tubers,3.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-02-15,Sorghum - Retail,3 KG,cereals and tubers,3.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-03-15,Sorghum - Retail,3 KG,cereals and tubers,3.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-04-15,Sorghum - Retail,3 KG,cereals and tubers,3.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-05-15,Sorghum - Retail,3 KG,cereals and tubers,2.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-06-15,Sorghum - Retail,3 KG,cereals and tubers,2.875,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-07-15,Sorghum - Retail,3 KG,cereals and tubers,2.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-08-15,Sorghum - Retail,3 KG,cereals and tubers,3.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-09-15,Sorghum - Retail,3 KG,cereals and tubers,3.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-10-15,Sorghum - Retail,3 KG,cereals and tubers,3.875,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-11-15,Sorghum - Retail,3 KG,cereals and tubers,3.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2011-12-15,Sorghum - Retail,3 KG,cereals and tubers,3.92,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-01-15,Sorghum - Retail,3 KG,cereals and tubers,4.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-02-15,Sorghum - Retail,3 KG,cereals and tubers,4.875,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-03-15,Sorghum - Retail,3 KG,cereals and tubers,5.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-04-15,Sorghum - Retail,3 KG,cereals and tubers,5.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-05-15,Sorghum - Retail,3 KG,cereals and tubers,6.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-06-15,Sorghum - Retail,3 KG,cereals and tubers,9.25,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-07-15,Sorghum - Retail,3 KG,cereals and tubers,6.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-08-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-09-15,Sorghum - Retail,3 KG,cereals and tubers,6.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-10-15,Sorghum - Retail,3 KG,cereals and tubers,6.875,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-11-15,Sorghum - Retail,3 KG,cereals and tubers,6.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2012-12-15,Sorghum - Retail,3 KG,cereals and tubers,6.75,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-01-15,Sorghum - Retail,3 KG,cereals and tubers,6.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-02-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-03-15,Sorghum - Retail,3 KG,cereals and tubers,6.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-04-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-05-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-06-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-07-15,Sorghum - Retail,3 KG,cereals and tubers,6.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-08-15,Sorghum - Retail,3 KG,cereals and tubers,6.5,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-09-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
2013-10-15,Sorghum - Retail,3 KG,cereals and tubers,7.0,SDG,Sudan,Blue Nile,2749,Damazin,1026,65,15,48,1,1026_65_15_48,
