"X","date","cmname","unit","category","price","currency","mktname","lat","long","year","quarter","price_norm","stdev","distinct_prices","stdev_mean"
19966,Mar 2021,"Millet - Retail","KG","cereals and tubers",305,"XOF","Diapaga",12.071211,1.7882233,2021,2021 Q1,0.762773722627737,0.238802549047493,3,0.238802549047493
20310,Mar 2021,"Millet - Retail","KG","cereals and tubers",155,"XOF","Gayéri",12.64983637,0.489297371,2021,2021 Q1,0.215328467153285,0.0528042199859141,3,0.0528042199859141
20584,Mar 2021,"Millet - Retail","KG","cereals and tubers",186,"XOF","Haaba",12.9264193,0.7418205,2021,2021 Q1,0.328467153284672,0.0492813360110197,3,0.0492813360110197
21002,Mar 2021,"Millet - Retail","KG","cereals and tubers",227,"XOF","Kompienga",11.08107289,0.723471862,2021,2021 Q1,0.478102189781022,0.096721066716793,3,0.096721066716793
22054,Mar 2021,"Millet - Retail","KG","cereals and tubers",155,"XOF","Faramana",12.0479595,-4.6671099,2021,2021 Q1,0.215328467153285,0.0420896445060978,3,0.0420896445060978
23564,Mar 2021,"Millet - Retail","KG","cereals and tubers",254,"XOF","Orodara",10.9821014,-4.9148962,2021,2021 Q1,0.576642335766423,0.0348152993217863,3,0.0348152993217863
24078,Mar 2021,"Millet - Retail","KG","cereals and tubers",227,"XOF","Gourcy",13.2072912,-2.3598879,2021,2021 Q1,0.478102189781022,0.0167247288137075,3,0.0167247288137075
24919,Mar 2021,"Millet - Retail","KG","cereals and tubers",169,"XOF","Titao",13.7670609,-2.0734607,2021,2021 Q1,0.266423357664234,0.0128170970229352,3,0.0128170970229352
25326,Mar 2021,"Millet - Retail","KG","cereals and tubers",264,"XOF","Yako",12.9612908,-2.2634317,2021,2021 Q1,0.613138686131387,0.0324386657566262,3,0.0324386657566262
26281,Mar 2021,"Millet - Retail","KG","cereals and tubers",228,"XOF","Mogtédo",12.284444,-0.837222,2021,2021 Q1,0.481751824817518,0.0438462805132363,3,0.0438462805132363
27679,Mar 2021,"Millet - Retail","KG","cereals and tubers",213,"XOF","Djibo",14.1023225,-1.6318243,2021,2021 Q1,0.427007299270073,0.0117319352323515,3,0.0117319352323515
30367,Mar 2021,"Millet - Retail","KG","cereals and tubers",249,"XOF","Markoye",14.64326068,0.034042523,2021,2021 Q1,0.558394160583942,0.0519138401298099,3,0.0519138401298099
30595,Mar 2021,"Millet - Retail","KG","cereals and tubers",227,"XOF","Sebba",13.44169,0.5264471,2021,2021 Q1,0.478102189781022,0.072473824859399,3,0.072473824859399
30870,Mar 2021,"Millet - Retail","KG","cereals and tubers",243,"XOF","Seytenga",13.97458917,0.295821919,2021,2021 Q1,0.536496350364963,0.0967210667167929,3,0.0967210667167929
32053,Mar 2021,"Millet - Retail","KG","cereals and tubers",250,"XOF","Batie",9.876575434,-2.921170794,2021,2021 Q1,0.562043795620438,0.0565791530619634,3,0.0565791530619634
32602,Mar 2021,"Millet - Retail","KG","cereals and tubers",230,"XOF","Dano",11.1435597,-3.0637939,2021,2021 Q1,0.489051094890511,0.0410212051097016,3,0.0410212051097016
33102,Mar 2021,"Millet - Retail","KG","cereals and tubers",262,"XOF","Gaoua",10.3303342,-3.1795681,2021,2021 Q1,0.605839416058394,0.0826624208241323,3,0.0826624208241323
