"","bandwidths","correlation"
"1",20000,0.0188028933393697
"2",15000,0.0185093539862784
"3",10000,0.0182113794131199
"4",90000,0.0259645301879173
"5",80000,0.0251888688963872
"6",70000,0.0238576269040002
"7",60000,0.0218886195035144
"8",50000,0.0194143745065914
"9",45000,0.0181645218531001
"10",40000,0.0171197477157867
"11",35000,0.0165470139946306
"12",30000,0.0167431073842383
"13",25000,0.0177493220537523
"14",20000,0.0188028933393697
"15",15000,0.0185093539862784
"16",10000,0.0182113794131199
"17",5000,0.026131295603006
